Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_30_997.jpg;-15;0;0;0;99.67;85.58897;0.0002432347;17.72124;3.847281E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_062.jpg;-15;0;0;0;99.67;85.58897;0.0002467643;15.02128;3.554189E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_130.jpg;-15;0;0;0;99.67;85.58897;0.0002510606;11.42133;3.139444E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_196.jpg;-15;0;0;0;99.67;85.58897;0.0002533364;8.721344;2.813482E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_262.jpg;-15;0;0;0;99.67;85.58897;0.0002571569;6.021339;2.441006E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_330.jpg;-15;0;0;0;99.67;85.58897;0.0002618937;2.421333;2.042814E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_397.jpg;-15;0;0;0;99.67;85.58897;0.0002653657;359.7213;1.671909E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_462.jpg;-15;0;0;0;99.67;85.58897;0.0002697209;357.0214;1.363066E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_530.jpg;-15;0;0;0;99.67;85.58897;0.0002739978;353.4214;1.068284E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_596.jpg;-15;0;0;0;99.67;85.58897;0.0002779235;350.7213;7.637976E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_663.jpg;-15;0;0;0;99.67;85.58897;0.000281384;348.0213;5.887397E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_730.jpg;-15;0;0;0;99.67;85.58897;0.0002837764;344.4213;3.476467E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_796.jpg;-15;0;0;0;99.67;85.58897;0.0002865639;341.7212;9.410191E-07
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_863.jpg;-15;0;0;0;99.67;85.58897;0.0002898067;338.1211;-1.014534E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_929.jpg;-15;0;0;0;99.67;85.58897;0.0002917648;335.4211;-1.121568E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_31_996.jpg;-15;0;0;0;99.67;85.58897;0.0002931341;332.721;-2.77935E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_062.jpg;-15;0;0;0;99.67;85.58897;0.0002943286;330.0209;-1.458213E-06
