Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_534.jpg;-13.49817;0.4026555;0;0.5215575;99.9146;85.91037;0.4300693;53.32716;359.7451
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_602.jpg;-10.51138;0.6017754;0;0.5479413;99.93651;85.93497;0.389285;52.79031;359.7176
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_668.jpg;-7.510118;0.8018592;0;0.604046;99.96069;85.96289;0.4249197;52.48478;359.7092
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_735.jpg;-4.542904;0.9996735;0;0.653359;99.99548;86.00471;0.555317;52.02459;359.7397
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_802.jpg;-1.500688;1;0;0.6843264;100.0239;86.04027;0.721451;51.90553;359.7954
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_868.jpg;0;1;0;0.762854;100.0542;86.07923;0.9320443;51.85241;359.8775
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_13_935.jpg;0;1;0;0.8006309;100.097;86.13419;1.220924;51.62512;0.003982584
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_14_002.jpg;0;1;0;0.846424;100.1315;86.17594;1.340718;51.58252;-0.001431663
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_14_068.jpg;0;1;0;0.907478;100.1646;86.21712;1.228542;51.60658;-0.001964051
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_14_136.jpg;0;1;0;0.9640416;100.2121;86.27648;1.125675;51.60234;0.0001093842
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_14_203.jpg;0;1;0;1.016649;100.2509;86.32505;1.132164;51.58439;-0.0004334281
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_14_268.jpg;0;1;0;1.075354;100.2921;86.37669;1.191097;51.57885;-0.000502074
E:\computer vision m.khalil\roversim\recorded_data\IMG\robocam_2022_12_01_20_32_14_335.jpg;0;1;0;1.124824;100.3496;86.44854;1.268564;51.57064;-0.001012744
